a,b,c,d,e,f,g,h,i,j,k,l
1,216.564,56.4072,103.867,2,101.339,0,-2.53727,-1.42074,-2.53727,-3.2931,-4.19683
1,219.538,11.4587,99.4586,5,106.639,0,-3.82964,-2.59964,-3.82964,-3.25307,-6.7346
1,218.047,9.78305,103.722,5,106.788,0,-3.17223,-3.72863,-3.17223,-1.773,-7.21601
1,218.253,17.3783,99.8525,4,108.389,0,-3.1715,-2.41713,-3.1715,-3.14182,-4.64054
1,217.262,13.4208,105.446,3,118.259,0,-1.61719,-2.49495,-1.61719,-2.66055,-5.69057
1,218.036,14.8578,111.328,3,103.796,0,-1.94291,-3.51995,-1.94291,-3.38339,-6.40323
1,218.694,21.9512,99.5585,4,108.618,0,-1.91101,-4.22274,-1.91101,-2.5678,-4.36998
1,217.408,20.0366,105.708,4,107.076,0,-2.51109,-4.68584,-2.51109,-2.4347,-5.50268
1,217.356,19.9529,112.657,2,95.7328,0,-2.5196,-2.92559,-2.5196,-2.10053,-5.31947
1,218.975,26.5953,99.2286,5,105.423,0,-2.50975,-3.69395,-2.50975,-3.22205,-4.02272
1,218.057,24.4263,105.348,5,105.965,0,-3.1007,-5.54548,-3.1007,-4.36179,-6.54057
1,217.064,24.6771,111.721,4,100.366,0,-1.47157,-2.36969,-1.47157,-0.662285,-3.60131
1,219.062,31.3407,98.8926,4,106.641,0,-2.59861,-4.13748,-2.59861,-3.22352,-5.04507
1,218.673,29.3055,104.66,4,109.566,0,-3.6801,-3.1044,-3.6801,-4.23931,-5.2018
1,216.554,30.3992,109.609,2,82.1508,0,-2.26054,-3.07433,-2.26054,-1.73644,-5.02719
1,219.414,36.0697,98.6125,5,105.63,0,-2.93817,-3.46775,-2.93817,-3.88211,-4.92034
1,219.483,35.9813,106.032,5,105.607,0,-4.54816,-6.96796,-4.54816,-3.865,-9.0271
1,218.802,35.3535,111.596,5,106.11,0,-2.43904,-5.09747,-2.43904,-3.86768,-4.42523
1,219.504,40.8535,98.5715,5,105.791,0,-2.42411,-5.07846,-2.42411,-2.51374,-5.88766
1,219.075,38.7246,104.754,5,105.507,0,-4.6352,-4.40785,-4.6352,-2.74937,-8.14205
1,218.044,39.4567,110.338,5,107.264,0,-3.15357,-2.91718,-3.15357,-2.91081,-5.90416
1,219.681,45.6164,98.8436,4,109.213,0,-3.8287,-3.25418,-3.8287,-3.86864,-6.12418
1,219.102,43.3982,104.605,5,105.693,0,-3.95431,-5.3853,-3.95431,-3.67239,-7.50737
1,217.996,44.3806,110.552,4,102.224,0,-3.50327,-3.81814,-3.50327,-1.38715,-7.44571
1,219.663,50.449,98.7346,5,106.503,0,-2.78768,-3.90719,-2.78768,-1.65111,-5.70854
1,220.4,48.5274,103.127,5,105.991,0,-3.96033,-7.23698,-3.96033,-3.73945,-8.85061
1,217.67,48.6673,110.185,5,106.342,0,-3.01435,-4.05453,-3.01435,-2.04095,-5.26591
1,221.045,56.4531,96.4675,4,108.146,0,-3.2039,-4.33751,-3.2039,-2.35501,-5.06068
1,218.794,53.9588,104.8,4,109.697,0,-3.05492,-4.74335,-3.05492,-2.53096,-6.57244
1,218.627,55.1684,109.295,4,109.194,0,-3.23392,-3.57992,-3.23392,-5.52995,-7.15338
1,220.843,63.2301,98.5076,6,103.966,0,-4.64658,-2.85372,-4.64658,-3.92215,-7.20908
1,219.021,59.2671,103.161,4,109.354,0,-3.09885,-4.24753,-3.09885,-5.53614,-8.89475
1,218.538,59.4481,110.51,5,107.545,0,-2.8507,-4.50554,-2.8507,-3.40372,-7.75042
1,220.116,68.0252,99.4766,5,105.647,0,-4.16743,-5.02035,-4.16743,-4.42184,-7.58177
1,219.056,64.7717,105.125,5,104.277,0,-2.7153,-4.53902,-2.7153,-3.46277,-9.81707
1,218.38,64.0015,110.478,5,106.469,0,-3.56832,-3.48529,-3.56832,-3.39506,-6.22691
1,220.097,72.6994,99.6296,5,105.317,0,-3.58267,-4.52898,-3.58267,-3.05649,-7.33302
1,219.687,69.822,105.284,4,109.17,0,-4.45122,-4.38663,-4.45122,-3.54373,-9.18698
1,219.005,69.9977,111.059,4,109.743,0,-3.85217,-4.72103,-3.85217,-4.35108,-8.20965
1,220.007,77.6411,99.7595,5,105.127,0,-3.64843,-4.82748,-3.64843,-4.28069,-6.44122
1,218.702,75.198,105.563,5,106.051,0,-3.39545,-4.35807,-3.39545,-3.1538,-8.56558
1,218.774,74.3765,110.94,4,108.734,0,-4.53278,-4.80462,-4.53278,-3.49704,-6.68771
1,220.03,82.1911,99.8206,5,105.972,0,-4.1853,-4.42272,-4.1853,-3.79984,-8.3665
1,219.493,79.557,105.447,5,106.128,0,-3.97471,-5.03223,-3.97471,-4.20863,-9.74091
1,218.745,78.6264,110.866,4,108.531,0,-3.86739,-4.1118,-3.86739,-4.55228,-6.92322
1,219.755,87.1687,99.9036,5,105.919,0,-4.07993,-4.47505,-4.07993,-1.95755,-7.18386
1,219.562,84.5602,105.746,5,105.479,0,-3.43804,-4.70782,-3.43804,-3.84533,-9.74817
1,218.218,83.4492,110.727,4,106.102,0,-3.73101,-4.78378,-3.73101,-3.20484,-7.07353
1,219.706,91.9388,100.15,5,106.018,0,-3.69765,-5.49395,-3.69765,-3.09476,-7.87188
1,219.481,89.1316,105.934,5,104.843,0,-3.41446,-4.96691,-3.41446,-3.21105,-8.07641
1,218.075,88.1284,111.839,4,108.884,0,-1.81802,-3.75849,-1.81802,-2.49669,-5.80878
1,219.94,96.6071,99.8715,5,106.027,0,-4.25083,-3.73083,-4.25083,-3.21759,-8.08778
1,218.295,94.7021,105.51,5,106.275,0,-3.27115,-3.47608,-3.27115,-2.58549,-7.64896
1,218.054,93.9555,111.784,4,101.601,0,-2.06994,-2.18244,-2.06994,-1.88979,-5.58149
1,219.53,101.689,100.08,5,106.896,0,-3.48365,-5.49029,-3.48365,-2.65352,-7.6284
1,218.184,99.2372,105.617,5,105.621,0,-3.54051,-3.54269,-3.54051,-2.41924,-6.99708
1,217.291,97.4058,112.05,2,111.247,0,-1.77488,-2.21123,-1.77488,-2.65529,-4.59575
1,219.646,106.601,99.7405,5,105.101,0,-4.14635,-3.41041,-4.14635,-1.93163,-6.66814
1,218.187,104.64,105.363,4,107.976,0,-3.76885,-5.04321,-3.76885,-4.66012,-7.03096
1,217.861,102.556,111.748,4,108.839,0,-1.11484,-2.66004,-1.11484,-2.32705,-5.56121
1,224.402,12.7899,94.2485,4,109.116,0,-1.86618,-4.42016,-1.86618,-3.59862,-6.31378
1,223.875,12.9231,100.719,4,108.646,0,-3.23799,-5.35599,-3.23799,-3.79433,-7.4454
1,222.759,11.6144,104.908,5,107.483,0,-5.0417,-3.46182,-5.0417,-4.90499,-12.3862
1,222.641,9.4228,112.278,5,107.353,0,-5.13525,-4.39982,-5.13525,-4.32367,-10.326
1,224.686,17.6913,93.9515,5,106.082,0,-2.6413,-5.33933,-2.6413,-3.32084,-7.2667
1,223.224,18.9421,99.6146,4,108.842,0,-4.36664,-6.86366,-4.36664,-3.50829,-7.51952
1,223.133,16.6352,105.574,4,109.812,0,-3.65349,-4.26768,-3.65349,-2.34889,-9.17797
1,222.349,13.8937,112.06,6,106.352,0,-4.74657,-3.66695,-4.74657,-3.81772,-9.55754
1,224.911,22.1326,94.2115,4,108.246,0,-3.04072,-3.61562,-3.04072,-3.36639,-7.8192
1,223.994,23.2539,99.3726,5,106.043,0,-4.11462,-7.07942,-4.11462,-4.02143,-11.7612
1,223.379,21.4405,105.425,4,108.944,0,-4.35507,-6.38518,-4.35507,-4.62677,-8.24842
1,223.179,18.8397,112.183,4,109.221,0,-2.5999,-4.13665,-2.5999,-6.71348,-9.6267
1,225.397,27.402,93.8546,5,107.2,0,-3.03373,-2.12897,-3.03373,-3.17176,-6.49877
1,224.605,27.7539,99.2385,5,106.471,0,-4.24155,-5.71852,-4.24155,-5.74552,-10.3458
1,223.459,25.9742,105.067,5,104.855,0,-5.39226,-6.30492,-5.39226,-4.64914,-9.85913
1,223.031,24.0321,111.443,6,104.144,0,-4.82453,-4.10232,-4.82453,-3.30514,-7.66521
